Model           ,loss    ,Dataset     ,Epoch ,accuracy            ,precision           ,sensitivity         ,specificity          ,f1_score            ,meaniou              ,fwiou                ,iou                 ,dice                ,hd
design_three    ,hybrid  ,driveEye    ,40    ,0.953890124662423   ,0.9105566834808076  ,0.6587706634179024  ,0.9916055001327676   ,0.7597550113305751  ,0.7827668128596892   ,0.9125025336389605   ,0.6152654538248475  ,0.7597554949158163  ,8.248414378576504
fcn32s          ,hybrid  ,driveEye    ,40    ,0.6551182122878088  ,0.16395840956648944 ,0.5064903192799733  ,0.6739375162194379   ,0.24657174897690076 ,0.38744029560849486  ,0.5787891238867835   ,0.14082062771944104 ,0.24657211906235843 ,17.559339263867496
fcn32s          ,BCE     ,driveEye    ,40    ,0.49119029103973766 ,0.14113651714170478 ,0.6972960708402604  ,0.4653213161303082   ,0.23344571945770548 ,0.2896514633675487   ,0.41168679582931383  ,0.13231878768149502 ,0.23344600285101325 ,19.962115712503554
fcn8s           ,BCE     ,driveEye    ,40    ,0.11915870949074074 ,0.11305153943795723 ,0.9995837080801463  ,0.007764041873884605 ,0.20299026066940962 ,0.06040490630576778  ,0.01968266142136139  ,0.11304618437486917 ,0.20299044299981656 ,19.995004050564482
only_attention  ,BCE     ,driveEye    ,40    ,0.9583199206693672  ,0.861272209959505   ,0.7542140940119985  ,0.9845088253814357   ,0.801531775233785   ,0.8119771807778621   ,0.9224018277826447   ,0.669477166149759   ,0.8015322713239035  ,8.13254075617326
attention_access,BCE,driveEye,40,0.9576316550925925,0.8074600658095008,0.8223376178952437,0.9751019531134011,0.8126881229371318,0.8190848714794626,0.9231513804531255,0.6848440007548505,0.812688621589586,8.333566813344376
attention_access,BCE,driveEye,40,0.9562878267264662,0.7906053584859428,0.8354285712494413,0.9719172501677686,0.8103145780122046,0.816544256744739,0.9214161632669328,0.6813247218631282,0.810315076376242,8.471320326244841
attention_access,BCE,driveEye,40,0.959056712962963,0.8578930808735155,0.7658388670489267,0.9838280434338653,0.8069104345620376,0.8160797197833596,0.9238905022673561,0.6769478744669938,0.8069109314625159,8.245561447326214
attention_access,BCE,driveEye,40,0.9577668366608798,0.8140592859504624,0.8125747350240073,0.9764608150977434,0.8112601408735163,0.8181446204596933,0.9231159672060473,0.6827594239178838,0.811260639620167,8.192941996632147
attention_access,BCE,driveEye,40,0.9550351743344907,0.8022836736215113,0.8000772616518026,0.975007543592222,0.798756737093509,0.8080589739340256,0.9185903252903754,0.6655043735632027,0.7987572355728345,8.387141775337955
attention_access,BCE,liver,40,0.9885464891975309,0.9042102802289756,0.9967931281317108,0.9875762587965006,0.9482467160563066,0.944395670636753,0.9781912443856272,0.9015875482350504,0.9482472148830114,7.615773105863909
attention_access,BCE,liver,40,0.9885464891975309,0.9042102802289756,0.9967931281317108,0.9875762587965006,0.9482467160563066,0.944395670636753,0.9781912443856272,0.9015875482350504,0.9482472148830114,7.615773105863909
UNet,BCE,liver,40,0.9971547067901234,0.976204490008795,0.9972798854688618,0.9971399793162227,0.9866291527541973,0.9852165456600683,0.9943778492640779,0.9736121205344663,0.9866296527108945,3.7416573867739413
attention_access,BCE,COVID19,40,0.9961071991982906,0.8127107977666782,0.8662054240047798,0.9976540077025343,0.830025491961815,0.8569893508408466,0.9928043504863203,0.7179609398014167,0.8300259859614872,4.722588229004168
UNet,BCE,driveEye,40,0.92890926408179,0.6405054738110183,0.8824012298155797,0.9350717336898174,0.7381428121868383,0.7540759538288849,0.8837337706362124,0.5870646373269885,0.7381432964758774,10.05819787890725
attention_access,BCE,dsb2018Cell,40,0.9684695343473064,0.847529316693447,0.958251092197784,0.9677232393335853,0.8939371465264886,0.8875813427368834,0.9439684849430949,0.815794756480507,0.8939376410466949,4.480279679847791
attention_access,BCE,driveEye,40,0.9588969666280864,0.8404012218410069,0.7892186564034338,0.9807562443374851,0.8106480109897003,0.8185981724247059,0.9242412029609482,0.6822808970321412,0.8106485083772634,8.308845986971727
only_attention,BCE,dsb2018Cell,40,0.9553794291482043,0.7986937598342561,0.9498895352317401,0.9506614251667418,0.86061133405994,0.8525859116426032,0.9226888872465083,0.7630578823934963,0.8606118256234006,5.211249527437194
attention_access,BCE,dsb2018Cell,40,0.9682563667866722,0.8332032159133438,0.9631439702778313,0.9656575683358941,0.8898423370108242,0.8823232649787374,0.9426320141359107,0.805945355954122,0.8898428322354528,4.557745246413911
attention_access,BCE,driveEye,40,0.9561827859760802,0.7915345663053375,0.8346242167207476,0.9718981277931549,0.8097658550795795,0.8161136002495875,0.9212382003600036,0.6805773163121509,0.8097663530576431,8.444220987904465
only_attention,BCE,dsb2018Cell,40,0.4968345983704524,0.2351078587553664,0.9947921666209243,0.3868426081052057,0.3602268538261137,0.310786173232326,0.3927882443297034,0.23490029151648834,0.36022713424576375,11.982509459840506
only_attention,BCE,COVID19,40,0.9964407804170179,0.8948467151623285,0.7907943731963955,0.9989200939694456,0.832603364015041,0.859122318611118,0.9931500729109568,0.7218801580453216,0.8326038574775491,4.547906579469943
resnet34_unet,BCE,COVID19,40,0.9965990653789044,0.8048919628483416,0.9187952454863648,0.9974030889978799,0.8534630022307061,0.8739159889723915,0.9937802236159445,0.7513195050828346,0.8534634971688164,4.548214360279053
